temperature_2m_mean,relative_humidity_2m_mean,precipitation_sum,et0_fao_evapotranspiration,wind_speed_10m_max,soil_moisture_0_to_7cm_mean,growth_stage_encoded,irrigation_needed,water_need_index
-1.371984717168498,1.8683821015644373,0.06546514527735708,-1.309744541242004,-0.8774496287429785,0.8421387016101973,-0.8971869216780232,0,0.0
-0.8839107073812311,1.71393016785659,-0.10867947168330361,-1.25957508154404,0.6036964887475437,0.9840342903084227,-0.8971869216780232,0,0.0
-0.573318155698425,1.1733483998791234,-0.30459216576404685,-1.1257898556828028,1.1111261771470744,0.8857988827481128,-0.8971869216780232,0,0.0
-1.1501328945379221,0.7872185656095047,-0.47873678272470754,-1.0867691648066087,-0.06830499048426715,0.8312236563257184,-0.8971869216780232,0,0.0
-1.0613921654856917,1.0188964661712758,-0.47873678272470754,-1.1480873933263422,-1.3985936330451993,0.8312236563257184,-0.8971869216780232,0,0.0
-1.431145203203318,1.0961224330251997,-0.4134325513644598,-1.1146410868610332,0.2608385911802932,0.7111581581964508,-0.8971869216780232,0,0.0
-0.7064292492767705,1.5594782341487423,-0.47873678272470754,-1.2484263127222703,0.12369543215339296,0.689328067627493,-0.8971869216780232,0,0.0
-0.3514663330678492,1.636704201002666,-0.348128320004212,-1.2707238503658098,0.31569585479105355,0.7002431129119719,-0.8971869216780232,0,0.0
-0.3218860900504389,1.327800333586971,0.5008266876790087,-1.1202154712719181,1.6596988132546753,0.8203086110412395,-0.8971869216780232,0,0.0
-0.8839107073812311,0.8644445324634283,-0.04337524032305584,-1.0923435492174938,1.7145560768654355,0.9294590638860283,-0.8971869216780232,0,0.0
-1.2980341096249728,0.7872185656095047,-0.47873678272470754,-1.0867691648066087,-0.2877340449273077,0.7002431129119719,-0.8971869216780232,0,0.0
-1.0466020439769868,1.0961224330251997,-0.47873678272470754,-1.170384930969882,0.658553752358304,0.6347528412050987,-0.8971869216780232,0,0.0
-0.7507996138028855,1.327800333586971,-0.3916644742443772,-1.1592361621481122,1.6596988132546753,0.6565829317740564,-0.8971869216780232,0,0.0
-0.55852803418972,-0.06226706978365684,-0.19575178016363393,-0.557202645772545,2.6059866105402865,0.6784130223430141,-0.8971869216780232,0,0.0
-0.6028983987158351,0.01495889707026693,-0.45696870560462494,-0.6129464898813939,1.947699447211166,0.6347528412050987,-0.8971869216780232,0,0.0
-0.6916391277680652,0.8644445324634283,-0.47873678272470754,-0.841496250727674,0.4665533297206435,0.6129227506361409,-0.8971869216780232,0,0.0
-0.6472687632419503,0.24663679763203825,0.04369706815727448,-0.79132679102971,0.9602687022174844,0.7220732034809296,-0.8971869216780232,0,0.0
-1.2980341096249728,0.9416704993173521,-0.4352006284845424,-1.075620395984839,0.19226701166684307,0.689328067627493,-0.8971869216780232,0,0.0
-1.5346760537642536,0.8644445324634283,-0.47873678272470754,-1.0477484739304146,0.781982595482514,0.6238377959206197,-0.8971869216780232,0,0.0
-1.5790464182903685,0.9416704993173521,-0.47873678272470754,-1.070046011573954,0.4665533297206435,0.6129227506361409,-0.8971869216780232,0,0.0
-1.8304784839383548,1.0961224330251997,-0.47873678272470754,-1.0923435492174938,-0.6991635220080084,0.5910926600671831,-0.8971869216780232,0,0.0
-1.9931698205341102,1.1733483998791234,-0.47873678272470754,-1.1146410868610332,-0.2877340449273077,0.5910926600671831,-0.8971869216780232,0,0.0
-1.919219212990585,0.8644445324634283,-0.47873678272470754,-1.075620395984839,-0.6854492061053181,0.5583475242137464,-0.8971869216780232,0,0.0
-1.8600587269557647,1.5594782341487423,-0.47873678272470754,-1.1090667024501482,-1.4260222648505794,0.5365174336447888,-0.8971869216780232,0,0.0
-1.7565278763948293,1.7911561347105136,-0.47873678272470754,-1.220554390667846,-1.138021630894089,0.5037722977913521,-0.8971869216780232,0,0.0
-1.105762530011807,1.327800333586971,-0.30459216576404685,-1.1034923180392633,0.713411015969064,0.48194220722239434,-0.8971869216780232,0,0.0
-0.7360094922941806,1.2505743667330473,1.4150859267224773,-1.1480873933263422,1.6871274450600557,0.9294590638860283,-0.8971869216780232,0,0.0
-1.0761822869943969,0.40108873133988576,0.021928991037191873,-0.8080499442623646,2.6745581900537365,0.9076289733170706,-0.8971869216780232,0,0.0
-1.0318119224682816,0.632766631901657,-0.32636024288412946,-0.9585583233562565,1.1248404930497646,0.7875634751878029,-0.8971869216780232,0,0.0
-0.7212193707854756,1.4822522672948186,0.04369706815727448,-1.220554390667846,1.4128411270062553,0.8967139280325916,-0.8971869216780232,0,0.0
-0.2923058470330289,1.2505743667330473,-0.4134325513644598,-1.070046011573954,0.809411227287894,0.9076289733170706,-0.8971869216780232,0,0.0
-0.15919475345468334,0.8644445324634283,2.329345165765946,-0.8136243286732495,1.5636986019358452,1.1150148337221686,-0.8971869216780232,0,0.0
-0.12961451043727334,1.327800333586971,1.066796692801156,-1.0979179336283784,1.8791278676977157,1.1586750148600842,-0.8971869216780232,0,0.0
-0.11482438892856835,0.9416704993173521,0.544362841919174,-0.9139632480691774,2.9899874558156077,1.093184743153211,-0.8971869216780232,0,0.0
-0.9726514364334614,0.01495889707026693,0.6314351503995042,-0.6798391028120124,2.208271449362276,1.1368449242911265,-0.8971869216780232,0,0.0
-1.0909724085031018,0.5555406650477334,-0.47873678272470754,-1.0143021674651054,-0.040876358678887205,0.9512891544549861,-0.8971869216780232,0,0.0
-1.3424044741510877,0.323862764485962,-0.47873678272470754,-0.7746036377970554,-0.4523058357595878,0.8967139280325916,-0.8971869216780232,0,0.0
-1.1945032590640372,0.323862764485962,-0.47873678272470754,-0.8247730974950193,0.17855269576415334,0.863968792179155,-0.8971869216780232,0,0.0
-0.7951699783290008,1.2505743667330473,0.21784168511793522,-1.1926824686134214,0.05512385263994285,0.9622041997394649,-0.8971869216780232,0,0.0
-0.58810827720713,0.9416704993173521,0.021928991037191873,-0.9195376324800624,4.2791331506684696,0.9403741091705072,-0.8971869216780232,0,0.0
-0.5141576696636048,-0.06226706978365684,0.6314351503995042,-0.3843967290351137,4.580848100527651,1.0386095167308171,-0.8971869216780232,0,0.0
-1.0318119224682816,-0.13949303663758061,-0.15221562592346877,-0.5516282613616601,2.2631287129730357,1.0276944714463383,-0.8971869216780232,0,0.0
-1.1649230160466273,0.16941083077811447,-0.45696870560462494,-0.7801780222079403,1.522555654227775,0.8530537468946762,-0.8971869216780232,0,0.0
-0.7803798568202956,0.47831469819380956,1.001492461440908,-0.7355829469208612,3.579703039631278,1.0058643808773804,-0.8971869216780232,0,0.0
-0.6472687632419503,0.323862764485962,-0.4134325513644598,-0.7746036377970554,0.2608385911802932,0.9731192450239439,-0.8971869216780232,0,0.0
-0.48457742664619474,0.632766631901657,0.00016091391710936655,-0.6631159495793577,2.139699869848826,0.8857988827481128,-0.8971869216780232,0,0.0
0.0034965831410722,-0.2167190034915044,0.6749713046396694,-0.1502725837779488,4.38884767788999,0.9294590638860283,-0.8971869216780232,0,0.0
-0.6768490062593603,0.16941083077811447,-0.13044754880338616,-0.5739257990051997,2.139699869848826,1.0604396072997742,-0.8971869216780232,0,0.0
-1.0022316794508714,0.40108873133988576,-0.47873678272470754,-0.6854134872228973,1.1385548089524549,0.9076289733170706,-0.8971869216780232,0,0.0
-0.8987008288899361,0.632766631901657,0.6096670732794217,-0.9139632480691774,1.7419847086708156,1.0058643808773804,-0.8971869216780232,0,0.0
-0.7360094922941806,0.7872185656095047,0.021928991037191873,-0.886091326014753,2.3591289242918663,0.9622041997394649,-0.8971869216780232,0,0.0
-1.1501328945379221,0.323862764485962,-0.47873678272470754,-0.6742647184011274,0.096266800348013,0.9294590638860283,-0.8971869216780232,0,0.0
-0.8247502213464109,0.5555406650477334,-0.47873678272470754,-0.6909878716337822,1.1934120725632147,0.8203086110412395,-0.8971869216780232,0,0.0
-0.41062681910266946,1.0961224330251997,-0.4352006284845424,-1.0087277830542205,1.7556990245735058,0.7766484299033241,-0.8971869216780232,0,0.0
-0.3366762115591442,0.7872185656095047,-0.4134325513644598,-0.8024755598514798,2.3042716606811067,0.7984785204722818,-0.8971869216780232,0,0.0
-0.7212193707854756,0.632766631901657,1.1974051555216514,-0.7578804845644008,1.947699447211166,1.0276944714463383,-0.8971869216780232,0,0.0
-1.3128242311336777,0.0921848639241907,0.17430553087777,-0.6463927963467031,1.9202708154057855,0.9731192450239439,-0.8971869216780232,0,0.0
-1.1353427730292172,0.47831469819380956,0.9579563072007431,-0.8470706351385588,4.032275464420049,1.0386095167308171,-0.8971869216780232,0,0.0
-1.2388736235901525,1.0188964661712758,0.30491399359826554,-1.0867691648066087,1.5499842860331554,0.9731192450239439,-0.8971869216780232,0,0.0
-0.6916391277680652,0.323862764485962,-0.086911394563221,-0.651967180757588,4.2242758870577095,0.9512891544549861,-0.8971869216780232,0,0.0
-1.1353427730292172,0.9416704993173521,3.1783001734491667,-1.0588972427521843,1.6871274450600557,1.0713546525842532,-0.8971869216780232,0,0.0
-1.0022316794508714,0.7099925987555809,0.9579563072007431,-0.8303474819059042,1.6322701814492953,1.2023351959979995,-0.8971869216780232,0,0.0
-1.2832439881162674,0.5555406650477334,-0.4134325513644598,-0.7578804845644008,0.2882672229856731,1.0386095167308171,-0.8971869216780232,0,0.0
-1.2240835020814476,1.2505743667330473,0.37021822495851325,-1.1202154712719181,0.905411438606724,1.0386095167308171,-0.8971869216780232,0,0.0
-0.61768852022454,1.1733483998791234,3.3742128675299097,-0.9306864013018321,3.7991320940743187,1.2459953771359151,-0.8971869216780232,0,0.0
-1.0022316794508714,0.01495889707026693,-0.4134325513644598,-0.6185208742922788,2.3728432401945567,1.093184743153211,-0.8971869216780232,0,0.0
-1.0170218009595766,0.5555406650477334,-0.47873678272470754,-0.7746036377970554,-0.20544814951116736,0.9949493355929016,-0.8971869216780232,0,0.0
-0.7212193707854756,1.0188964661712758,0.805579767360165,-0.9920046298215658,2.029985342627306,1.0386095167308171,-0.8971869216780232,0,0.0
-0.869120585872526,0.323862764485962,-0.19575178016363393,-0.5126075704854659,0.9602687022174844,0.9622041997394649,-0.8971869216780232,0,0.0
-0.3662564545765542,1.1733483998791234,0.26137783935810033,-0.9641327077671413,2.1259855539461356,1.0276944714463383,-0.8971869216780232,0,0.0
-0.07045402440245307,0.7099925987555809,-0.19575178016363393,-0.6185208742922788,1.275697967979355,0.9512891544549861,-0.8971869216780232,0,0.0
-0.44020706212007943,0.01495889707026693,-0.04337524032305584,-0.4512893419657323,1.6596988132546753,0.8857988827481128,-0.8971869216780232,0,0.0
-1.0022316794508714,-0.2167190034915044,-0.47873678272470754,-0.4847356484310416,0.13740974805608316,0.7875634751878029,-0.8971869216780232,0,0.0
-0.8395403428551159,0.7099925987555809,0.26137783935810033,-0.8972400948365228,0.6448394364556138,0.7002431129119719,-0.8971869216780232,0,0.0
-0.5437379126810148,0.40108873133988576,-0.47873678272470754,-0.417843035500423,1.0014116499255545,0.6565829317740564,-0.8971869216780232,0,0.0
-0.7360094922941806,1.0188964661712758,0.32668207071834815,-0.9920046298215658,-0.4111628880515177,0.9076289733170706,-0.8971869216780232,0,0.0
-0.45499718362878444,0.632766631901657,-0.45696870560462494,-0.7188597936882066,-1.0968786831860187,0.874883837463634,-0.8971869216780232,0,0.0
-0.24793548250691363,0.5555406650477334,-0.47873678272470754,-0.3955454978568834,-1.3163077376290593,0.7766484299033241,-0.8971869216780232,0,0.0
-0.15919475345468334,0.5555406650477334,-0.45696870560462494,-0.31192973169361027,-0.8500209969375985,0.7220732034809296,-0.8971869216780232,0,0.0
-0.21835523948950364,0.7099925987555809,0.19607360799785262,-0.24503711876299175,0.27455290708298336,0.7329882487654086,-0.8971869216780232,0,0.0
-0.869120585872526,0.47831469819380956,-0.47873678272470754,-0.6631159495793577,0.4939819615260234,0.689328067627493,-0.8971869216780232,0,0.0
-0.9430711934160514,-0.3711709371993519,-0.47873678272470754,-0.4903100328419265,1.0562689135363146,0.7220732034809296,-0.8971869216780232,0,0.0
-1.0761822869943969,-1.4523344731542847,-0.47873678272470754,0.17304171205337435,0.4665533297206435,0.6456678864895775,-0.8971869216780232,0,0.0
-1.1501328945379221,-1.6067864068621323,-0.47873678272470754,0.16189294323160458,-0.27401972902461746,0.514687343075831,-0.8971869216780232,0,0.0
-1.1797131375553322,-1.5295604400082083,-0.47873678272470754,0.1674673276424896,0.2334099593749132,0.43828202608447886,-0.8971869216780232,0,0.0
-1.2092933805727422,-1.9156902742778272,-0.47873678272470754,0.2009136341077989,0.5076962774287136,0.4055368902310422,-0.8971869216780232,0,0.0
-1.0466020439769868,-0.680074804615047,-0.47873678272470754,-0.0053385890949417735,-0.05459067458157742,0.2854713921017752,-0.8971869216780232,0,0.0
