cluster,baseline_simple_f1,baseline_simple_mae,baseline_ru_f1,baseline_ru_mae,ml_f1,ml_mae,ml_rmse
1,0.023018743834265044,0.5918325475017593,0.723404255319149,0.08601515990304168,0.5490196078431373,0.12019870190626487,1.9497739554023525
2,0.07599463567277603,1.775816349988271,0.9390962671905697,0.08528874032371565,0.9494949494949495,0.06825103283583549,1.6462312013543827
3,0.030326004548900682,0.7688035095264159,0.7096774193548387,0.1348433888497928,0.68,0.10940854946615013,2.0295055443805525
4,0.13752793536187038,2.2595003244976155,0.33715596330275227,1.486739122162275,0.9453621346886912,0.119824942508748,1.7053239394348332
